Municipality,Building Use,Activity,Value of Permits,Number of Permits,Extract Date
CAPE BRETON REGIONAL MUNICIPALITY,Commercial,AdditionsAndRenovations,479358,3,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
CAPE BRETON REGIONAL MUNICIPALITY,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,Commercial,AdditionsAndRenovations,2000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,InstitutionalAndGovernmental,AdditionsAndRenovations,8000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANNAPOLIS,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,Commercial,AdditionsAndRenovations,150000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF ANTIGONISH,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,Commercial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF COLCHESTER,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,Commercial,AdditionsAndRenovations,3830,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF INVERNESS,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,Commercial,AdditionsAndRenovations,20000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,Commercial,NewConstruction,1000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF PICTOU,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,Commercial,AdditionsAndRenovations,225000,4,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,Industrial,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,Industrial,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,InstitutionalAndGovernmental,AdditionsAndRenovations,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF RICHMOND,InstitutionalAndGovernmental,NewConstruction,0,0,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,Commercial,AdditionsAndRenovations,2000,1,06/01/2019 07:30:40 AM
MUNICIPALITY OF THE COUNTY OF VICTORIA,Commercial,NewConstruction,0,0,06/01/2019 07:30:40 AM
