X,Y,OBJECTID,ADDRESS,FOLDERTYPE,FILENO,INDATE,ISSUEDATE,WORKDESC,SUBDESC,FOLDERSTATUSDESC,REFERENCEFILE
597426.875000001862645,4807735.499999998137355,8,5360 DUNDAS ST.,SO Other Single Detached Dwelling,18-003705,2018-03-08T00:00:00.000Z,2018-05-07T00:00:00.000Z,Addition,Single Detached Dwelling,Occupiable,
597426.875000001862645,4807735.499999998137355,9,5360 DUNDAS ST.,PL Plumbing,18-004870,2018-03-26T00:00:00.000Z,2018-05-07T00:00:00.000Z,Septic System - New,Single Detached Dwelling,Issued,
600527.687520002014935,4805464.999999998137355,12,5420 NORTH SERVICE RD.,CP Commercial,16-018104,2016-08-29T00:00:00.000Z,2016-10-21T00:00:00.000Z,Fire Alarm (no ZC required),Office,Final,
600527.687520002014935,4805464.999999998137355,14,5420 NORTH SERVICE RD.,CP Commercial,18-003558,2018-03-05T00:00:00.000Z,2018-04-04T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
600527.687520002014935,4805464.999999998137355,15,5420 NORTH SERVICE RD.,CP Commercial,16-020309,2016-09-29T00:00:00.000Z,2016-10-28T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
600527.687520002014935,4805464.999999998137355,16,5420 NORTH SERVICE RD.,CP Commercial,16-020499,2016-10-03T00:00:00.000Z,2016-10-27T00:00:00.000Z,Sprinkler/Standpipe System (No ZC Reqd),Office,Final,
600527.687520002014935,4805464.999999998137355,17,5420 NORTH SERVICE RD.,CP Commercial,17-013948,2017-07-19T00:00:00.000Z,2017-08-16T00:00:00.000Z,Renovation (No ZC Reqd),Office,Final,
600527.687520002014935,4805464.999999998137355,18,5420 NORTH SERVICE RD.,CP Commercial,18-026238,2018-11-13T00:00:00.000Z,2019-01-23T00:00:00.000Z,Renovation (No ZC Reqd),Commercial - Business/Personal Serv.,Issued,
600019.875000001862645,4806034.999999998137355,19,1240 BURLOAK DR.,CP Commercial,17-015458,2017-08-03T00:00:00.000Z,2017-08-30T00:00:00.000Z,Renovation (No ZC Reqd),Restaurant,Final,
600019.875000001862645,4806034.999999998137355,20,1240 BURLOAK DR.,CP Commercial,16-020257,2016-09-28T00:00:00.000Z,2016-10-27T00:00:00.000Z,Fire Alarm (no ZC required),Day Care Facility,Final,
596065.687520002014935,4797817.499999998137355,22,1258 NATHANIEL CRES.,SO Other Single Detached Dwelling,17-021649,2017-10-25T00:00:00.000Z,2017-11-08T00:00:00.000Z,New,Attached Deck,Issued,
597636.750000001862645,4799417.999999998137355,23,671 PEELE BLVD.,SO Other Single Detached Dwelling,17-024371,2017-12-08T00:00:00.000Z,2018-01-08T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
597623.250000001862645,4799431.499999998137355,24,675 PEELE BLVD.,SO Other Single Detached Dwelling,17-016154,2017-08-16T00:00:00.000Z,2017-09-14T00:00:00.000Z,Addition,Single Detached Dwelling,Issued,
