OBJECTID,PERMITNUMBER,DESCRIPTION,APPLIEDDATE,ISSUEDDATE,COMPLETEDDATE,STATUSCURRENT,ORIGINALADDRESS1,ORIGINALADDRESS2,ORIGINALCITY,ORIGINALSTATE,ORIGINALZIP,PERMITCLASS,WORKCLASS
1,16-123472-00-C3,"Alterations to the 2-storey residential care facility to repair fire damage.  To construct a 2-storey, 96 m2 and a 33 m2 addition to the existing building.",2016-08-02T00:00:00.000Z,2016-11-16T00:00:00.000Z,,Issued,1966 6TH CON W,NULL,FLAMBOROUGH,NULL,NULL,Residential Care Facility,Alteration
2,16-107778-00-C3,"Alterations to the existing building for tenant improvements ""PACE CREDIT UNION""",2016-03-24T00:00:00.000Z,2016-06-02T00:00:00.000Z,,Issued,1005 KING W,NULL,HAMILTON,ON,L8S 1L3,Banks,Alteration
3,16-111419-00-C3,"Alterations to the ABM area (interior and exterior) for ""SCOTIABANK"".",2016-05-03T00:00:00.000Z,2016-05-17T00:00:00.000Z,,Issued,12 KING E,NULL,HAMILTON,ON,NULL,Banks,Alteration
4,15-129811-00-C3,"Alterations to Unit 2 of the 3-storey commercial building to create ""NATIONAL BANK"".",2015-12-18T00:00:00.000Z,2016-01-29T00:00:00.000Z,2016-05-31T00:00:00.000Z,Closed,123 JAMES N,NULL,HAMILTON,ON,NULL,Banks,Tenant  Improve
5,16-125223-00-C3,"Alterations to Unit B3 of the 1-storey commercial building to create ""ODYSSEY HAIR SALON & SPA"".",2016-08-25T00:00:00.000Z,2016-09-23T00:00:00.000Z,2016-12-09T00:00:00.000Z,Closed,1575 UPPER OTTAWA,NULL,HAMILTON,ON,L8W 3E2,Barber and Hairdressing,Alteration
6,16-125423-00-C3,"Alterations to Unit 4 of the 1-storey building to create a hair salon, ""STYLE & SMILE"".",2016-08-25T00:00:00.000Z,2016-09-20T00:00:00.000Z,2016-10-25T00:00:00.000Z,Closed,195 PARKDALE N,NULL,HAMILTON,ON,NULL,Barber and Hairdressing,Alteration
7,16-104915-00-C3,Alterations to Unit 7 of the 1-storey commercial building to create a barber shop.,2016-02-25T00:00:00.000Z,2016-03-24T00:00:00.000Z,2016-05-11T00:00:00.000Z,Closed,1070 STONE CHURCH E,NULL,HAMILTON,ON,L8W 3K8,Barber and Hairdressing,Alteration
8,16-104870-00-C3,Alterations to the interior of Unit F2 for a new barber shop.,2016-02-23T00:00:00.000Z,2016-03-23T00:00:00.000Z,2016-05-20T00:00:00.000Z,Closed,94 HWY 8,NULL,STONEY CREEK,ON,L8G 4H3,Barber and Hairdressing,Alteration
9,16-102077-00-C3,Alteration to Unit 5 of the existing commercial building for a nail and esthetics salon.,2016-01-27T00:00:00.000Z,2016-02-23T00:00:00.000Z,2017-01-11T00:00:00.000Z,Closed,970 UPPER JAMES,NULL,HAMILTON,ON,NULL,Barber and Hairdressing,Alteration
10,16-119687-00-C3,Change of use (NO CONSTRUCTION) to convert an existing computer store to a hair salon with tattoo parlour.,2016-07-21T00:00:00.000Z,2016-09-23T00:00:00.000Z,,Issued,1146 BARTON E,NULL,HAMILTON,ON,NULL,Beauty Parlours,Alteration
11,16-101292-00-C3,Interior alterations to existing nail salon.,2016-01-19T00:00:00.000Z,2016-02-17T00:00:00.000Z,2016-05-04T00:00:00.000Z,Closed,875 MAIN W,NULL,HAMILTON,ON,L8P 1P9,Beauty Parlours,Alteration
12,16-116080-00-C3,Alterations to the interior of Unit 5 and Unit 6 on the ground floor for a combined tattoo studio and a barber studio as per plan approved.,2016-06-17T00:00:00.000Z,2016-11-25T00:00:00.000Z,,Issued,454 KING E,NULL,HAMILTON,ON,NULL,Beauty Parlours,Alteration
13,16-118356-00-C3,"To install two (2) new hand sinks and related plumbing work for ""BEN'S BARBER SHOP"".",2016-07-11T00:00:00.000Z,2016-07-19T00:00:00.000Z,2016-07-29T00:00:00.000Z,Closed,601 UPPER JAMES,NULL,HAMILTON,ON,NULL,Beauty Parlours,Alteration
14,16-110383-00-C3,Alterations to the existing to commercial building to accommodate new dental offices,2016-04-22T00:00:00.000Z,2016-07-07T00:00:00.000Z,2016-11-04T00:00:00.000Z,Closed,1031 BARTON E,NULL,HAMILTON,NULL,L8L 3E3,Dental Offices,Alteration
15,15-130041-00-C3,Tenant fit up to the entire building for a new 409 m2 dental offices,2015-12-18T00:00:00.000Z,2016-01-26T00:00:00.000Z,2016-06-01T00:00:00.000Z,Closed,106 HWY 8,NULL,STONEY CREEK,ON,L8G 4H3,Dental Offices,Tenant  Improve
16,16-106814-00-C3,"To construct a 148.6m2, 1-storey medical office.",2016-03-16T00:00:00.000Z,2016-06-30T00:00:00.000Z,,Revised,9 LAKE S,NULL,STONEY CREEK,NULL,NULL,Medical Offices,New Construction
17,16-104043-00-C3,"To repair the masonry, glass & framing due to vehicle impact.",2016-02-17T00:00:00.000Z,2016-03-16T00:00:00.000Z,2016-06-09T00:00:00.000Z,Closed,849 UPPER WENTWORTH,NULL,HAMILTON,ON,NULL,Medical Offices,Addition (NR)
18,16-127458-00-C3,To construct a 67.10m2 addition on the rear of the existing veterinary hospital as well as interior renovations to the existing building.,2016-09-16T00:00:00.000Z,2016-10-10T00:00:00.000Z,,Issued,612 KING W,NULL,HAMILTON,ON,L8S 1C2,Medical Offices,Addition (NR)
19,16-107910-00-C3,Alteration to the existing commercial building to construct a demising wall and create a pharmacy with three medical offices.,2016-03-30T00:00:00.000Z,2016-06-26T00:00:00.000Z,2016-12-23T00:00:00.000Z,Closed,1015 GOLF LINKS,NULL,ANCASTER,ON,L9K 1L6,Medical Offices,Alteration
20,16-109438-00-C3,Alterations to the ground floor of the existing 2-storey building for medical office and a pharmacy.,2016-04-14T00:00:00.000Z,2016-07-29T00:00:00.000Z,,Issued,323 UPPER WENTWORTH,NULL,HAMILTON,ON,NULL,Medical Offices,Alteration
21,16-116601-00-C3,"Change of use to convert existing 237 m2 Office to a Holistic Healing Centre, ""SALT CAVE THERAPY""",2016-06-23T00:00:00.000Z,2016-07-22T00:00:00.000Z,2016-11-24T00:00:00.000Z,Closed,25 REDMOND,NULL,HAMILTON,ON,NULL,Medical Offices,Alteration
22,16-131351-00-C3,"Alterations to extend existing medical-health office, ""PHYSIO"" (units 205 and 210) to include the adjacent tenant space (unit 215).",2016-11-02T00:00:00.000Z,2016-11-22T00:00:00.000Z,,Issued,1508 UPPER JAMES,NULL,HAMILTON,ON,B0K 1S0,Medical Offices,Alteration
23,16-131524-00-C3,"Alterations to Unit 204 of the 2-storey commercial building to create medical office ""DR. PIERRE PICARD"".",2016-11-04T00:00:00.000Z,2016-12-06T00:00:00.000Z,2017-01-20T00:00:00.000Z,Closed,133 KING W,NULL,DUNDAS,NULL,NULL,Medical Offices,Alteration
24,15-123657-00-C3,Alterations to the existing shell building to create veterinarian office in Unit 8.,2015-10-08T00:00:00.000Z,2016-02-10T00:00:00.000Z,,Revised,100 DUNDAS E,NULL,FLAMBOROUGH,ON,L0R 2H2,Medical Offices,Alteration
25,15-123657-01-C3,REVISED TO INCLUDE MECHANICAL AND ELECTRICAL ALTERATIONS. Alterations to the existing shell building to create veterinarian office in Unit 8.,2016-03-03T00:00:00.000Z,2016-03-11T00:00:00.000Z,2016-05-16T00:00:00.000Z,Closed,100 DUNDAS E,NULL,FLAMBOROUGH,ON,L0R 2H2,Medical Offices,Alteration
26,16-105959-00-C3,"Alterations to the interior of the,1 storey medical offices to remove all existing interior partition walls. ",2016-03-07T00:00:00.000Z,2016-03-29T00:00:00.000Z,2016-07-06T00:00:00.000Z,Closed,510 CONCESSION,NULL,HAMILTON,ON,NULL,Medical Offices,Alteration
27,16-115829-00-C3,"Alterations to unit 14-16 of the commercial building to create a veterinary clinic ""PARAMOUNT ANIMAL HOSPITAL"".",2016-06-15T00:00:00.000Z,2016-08-09T00:00:00.000Z,,Issued,1050 PARAMOUNT,NULL,STONEY CREEK,ON,NULL,Medical Offices,Alteration
28,16-116906-00-C3,Alterations to the ground floor of the 3-storey commercial building to add sink for pharmacy. (Unit known as 3 Colbourne St),2016-06-24T00:00:00.000Z,2016-07-25T00:00:00.000Z,,Revised,265 JAMES N,NULL,HAMILTON,ON,L8R 2L2,Medical Offices,Alteration
29,16-116906-01-C3,"PERMIT REVISED to alter tenant demising wall, create lunch room and remove one door.   Alterations to the ground floor of the 3-storey commercial building to add sink for pharmacy. (Unit known as 3 Colbourne St)",2016-07-27T00:00:00.000Z,2016-08-24T00:00:00.000Z,2016-09-12T00:00:00.000Z,Closed,265 JAMES N,NULL,HAMILTON,ON,L8R 2L2,Medical Offices,Alteration
30,16-126462-00-C3,Alterations to the existing building to create doctor's office.,2016-09-07T00:00:00.000Z,2016-11-30T00:00:00.000Z,,Issued,847 BARTON E,NULL,HAMILTON,ON,NULL,Medical Offices,Alteration
31,16-129210-00-C3,"Alterations to the existing 4-storey commercial building and work to construct a 2-storey, 1725.9 m2 addition on top of the existing building.",2016-10-06T00:00:00.000Z,2016-12-22T00:00:00.000Z,,Issued,46 KING E,NULL,HAMILTON,ON,NULL,Offices,New Construction
32,16-104800-00-C3,"Alteration, replace existing retaining wall with the same in size and location as per plan approved.",2016-02-22T00:00:00.000Z,2016-07-25T00:00:00.000Z,,Issued,726 UPPER GAGE,NULL,HAMILTON,ON,NULL,Offices,New Construction
33,16-105439-00-C3,To install a sprinkler system to serve the entire building.,2016-03-01T00:00:00.000Z,2016-06-17T00:00:00.000Z,,Issued,1318 RYMAL E,NULL,HAMILTON,NULL,NULL,Offices,New Construction
34,15-128052-01-C3,"REVISION to include sprinkler system within the building, to eliminate elevator vestibules, to delete fire fighting access panels, to install new windows at exterior wall, to install new RTU on the roof ,and to change the building classification. (Separate building permit required for the installation of the sprinkler system.) To construct the SHELL ONLY of a 3-storey, 1444.4 m2 commercial building (with basement).",2016-07-12T00:00:00.000Z,2016-08-24T00:00:00.000Z,,Issued,825 NORTH SERVICE,NULL,STONEY CREEK,ON,NULL,Offices,New Construction
35,16-125208-00-C3,"To construct the SHELL ONLY of an usprinklered 1-storey, 650.32m2 office building.",2016-08-25T00:00:00.000Z,2016-10-17T00:00:00.000Z,,Issued,109 PORTIA,E3,ANCASTER,NULL,NULL,Offices,New Construction
36,16-119653-00-C3,"To construct the SHELL ONLY  of a 3-storey, 671.30m2 medical office building with basement.",2016-07-20T00:00:00.000Z,2016-11-16T00:00:00.000Z,,Issued,385 WILSON E,NULL,ANCASTER,NULL,NULL,Offices,New Construction
37,16-118167-00-C3,To construct a 142.35 m2 office and storage building for OUTDOOR BALL HOCKEY LEAGUE LTD.,2016-07-07T00:00:00.000Z,2016-09-16T00:00:00.000Z,,Issued,680 VANWAGNERS BCH,NULL,HAMILTON,ON,L8E 3L8,Offices,New Construction
38,15-124706-00-C3,"To construct a sprinklered 2-storey, 3560 m2 office building.",2015-10-21T00:00:00.000Z,2016-06-16T00:00:00.000Z,,Issued,1318 RYMAL E,NULL,HAMILTON,NULL,NULL,Offices,New Construction
41,16-134112-00-C3,Interior alterations to Unit 950 inside the existing office building.,2016-12-08T00:00:00.000Z,2016-12-21T00:00:00.000Z,,Issued,120 KING W,NULL,HAMILTON,ON,L8P 4V2,Offices,Alteration
39,15-128052-00-C3,"To construct the SHELL ONLY of a 3-storey, 1444.4 m2 commercial building (with basement).",2015-11-24T00:00:00.000Z,2016-03-15T00:00:00.000Z,,Revised,825 NORTH SERVICE,NULL,STONEY CREEK,ON,NULL,Offices,New Construction
40,16-126808-00-C3,Alterations to the existing radio station on the 2nd floor to create two (2) office spaces.,2016-09-09T00:00:00.000Z,2016-09-27T00:00:00.000Z,2016-11-17T00:00:00.000Z,Closed,875 MAIN W,NULL,HAMILTON,ON,L8P 1P9,Offices,Alteration
42,16-129676-00-C3,"Alterations to the 7th floor to construct new office space and to the basement to remove a wall for ""HAMILTON CITY HALL""",2016-10-12T00:00:00.000Z,2016-11-04T00:00:00.000Z,,Issued,71 MAIN W,NULL,HAMILTON,ON,L8P 4Y5,Offices,Alteration
43,16-128930-00-C3,"Alterations to Unit 305 on the 3rd floor for an office use, ""RIOCAN HEAD OFFICE"".",2016-10-04T00:00:00.000Z,2016-10-31T00:00:00.000Z,,Issued,1550 UPPER JAMES,NULL,HAMILTON,ON,L9B 1K3,Offices,Alteration
44,16-128274-00-C3,"Alterations to Unit 3 of the 3-storey commercial building to create a ""MEDICAL OFFICE"".",2016-09-26T00:00:00.000Z,2016-11-24T00:00:00.000Z,2017-01-24T00:00:00.000Z,Closed,170 ROCKHAVEN,NULL,FLAMBOROUGH,ON,NULL,Offices,Alteration
45,16-128553-00-C3,Alterations to the existing building to retrofit the HVAC system serving the building.,2016-09-28T00:00:00.000Z,2016-11-30T00:00:00.000Z,,Issued,50 MAIN E,NULL,HAMILTON,ON,NULL,Offices,Alteration
46,16-128562-00-C3,"Alterations to the 16th, 18-20th floors of the existing office building for washroom upgrades and new rated corridor on the 16th floor (landlord work only).",2016-09-28T00:00:00.000Z,2016-10-27T00:00:00.000Z,,Issued,100 KING W,NULL,HAMILTON,ON,L8P 1A1,Offices,Alteration
47,16-128566-00-C3,Alterations to unit 3 of 2-storey commercial building to create an architectural office.,2016-09-29T00:00:00.000Z,2016-10-28T00:00:00.000Z,2017-01-06T00:00:00.000Z,Closed,505 YORK,NULL,HAMILTON,ON,L8R 3K4,Offices,Alteration
48,16-131894-00-C3,To install a sprinkler system to serve the entire building.,2016-11-09T00:00:00.000Z,2016-12-09T00:00:00.000Z,,Issued,825 NORTH SERVICE,NULL,STONEY CREEK,ON,NULL,Offices,Alteration
49,16-130095-00-C3,Alterations to the second floor offices to remove some partition walls.,2016-10-19T00:00:00.000Z,2016-11-21T00:00:00.000Z,,Issued,1 KING W,NULL,HAMILTON,ON,NULL,Offices,Alteration
50,16-126835-00-C3,Alterations to the 14th floor of the 18-storey commercial building to create “LRT OFFICE”.,2016-09-12T00:00:00.000Z,2016-09-19T00:00:00.000Z,2016-11-14T00:00:00.000Z,Closed,21 KING W,NULL,HAMILTON,ON,L8P 4W7,Offices,Alteration
51,15-110334-00-C3,"Alterations to Unit 24 on the second floor of the 2-storey commercial building (Building C) to create ""Office"".",2015-05-08T00:00:00.000Z,2016-08-11T00:00:00.000Z,,Issued,442 MILLEN,NULL,STONEY CREEK,NULL,NULL,Offices,Alteration
52,15-118948-00-C3,Alterations to the ground floor of the 2-storey mixed use building to create a medical office and pharmacy.,2015-08-14T00:00:00.000Z,2016-01-28T00:00:00.000Z,,Issued,293 BARTON E,NULL,HAMILTON,ON,NULL,Offices,Alteration
53,15-127792-00-C3,Alterations to the interior of the existing office building for fit up to unit 103,2015-11-23T00:00:00.000Z,2016-01-22T00:00:00.000Z,,Issued,55 HEAD,NULL,DUNDAS,NULL,NULL,Offices,Alteration
54,15-127651-00-C3,Alterations to the third floor of the 3-storey building to create temporary sales office for future condominium.,2015-11-20T00:00:00.000Z,2016-01-15T00:00:00.000Z,2016-12-13T00:00:00.000Z,Closed,2 KING W,NULL,DUNDAS,NULL,NULL,Offices,Alteration
55,15-127831-01-C3,"REVISED TO CHANGE TO A GROUP 'D' OCCUPANCY WITH A MAXIMUM OCCUPANT LOAD OF 30 PERSONS. REVISIONS INCLUDE ADDITION OF A DOOR BETWEEN ROOMS 2 AND 3. Alterations to the first floor of the 3-storey commercial building to create an adventure game facility, ""THE ? ADVENTURE""",2016-02-23T00:00:00.000Z,2016-02-23T00:00:00.000Z,2016-08-11T00:00:00.000Z,Closed,287 KING E,NULL,HAMILTON,ON,NULL,Offices,Alteration
56,16-104796-00-C3,Alteration to the floor layout of the second floor of the existing building and to create office (2A).,2016-02-22T00:00:00.000Z,2016-05-25T00:00:00.000Z,2016-09-28T00:00:00.000Z,Closed,688 QUEENSDALE E,NULL,HAMILTON,ON,NULL,Offices,Alteration
57,16-100953-00-C3,"Alterations to Unit 1 of the 3-storey commercial building for a tenant fit-out of a new ""Medical office and Pharmacy"".",2016-01-14T00:00:00.000Z,2016-02-11T00:00:00.000Z,2016-05-11T00:00:00.000Z,Closed,81 WILSON W,NULL,ANCASTER,NULL,NULL,Offices,Alteration
58,16-107708-00-C3,"Alterations to the interior and exterior of the 2-storey commercial building for ""INSURANCE ADJUSTOR OFFICES"".",2016-03-29T00:00:00.000Z,2016-05-25T00:00:00.000Z,2016-12-19T00:00:00.000Z,Closed,46 JACKSON E,NULL,HAMILTON,ON,NULL,Offices,Alteration
61,16-106550-00-C3,Alterations to the existing 1-storey building for conversion to a training facility.,2016-03-11T00:00:00.000Z,2016-09-08T00:00:00.000Z,,Issued,100 WEST 5TH,NULL,HAMILTON,ON,NULL,Offices,Alteration
59,16-104801-00-C3,"Alteration to Unit 108 of the 4-storey commercial building to create ""CALIBER COMMUNICATIONS"".",2016-02-22T00:00:00.000Z,2016-06-22T00:00:00.000Z,2016-12-21T00:00:00.000Z,Closed,1100 SOUTH SERVICE,108,STONEY CREEK,ON,NULL,Offices,Alteration
