X,Y,OBJECTID,FOLDERTYPE,DESCRIPTION,STATUS,ISSUEDATE,PROPERTYADDRESS
601293.377500000409782,4814528.424499999732,842,RN,Residential Dwelling (New/Add) Building,Conditional,2018-01-17T18:00:43.000Z,331 Harold Dent Trail 
607590.268000000156462,4811046.012499999255,942,CA,Commercial (Alt/Imp) Building,Issued,2019-01-10T09:24:03.000Z,136 Church St 
601310.747499999590218,4814545.3735,222,RN,Residential Dwelling (New/Add) Building,Conditional,2018-01-17T18:09:10.000Z,323 Harold Dent Trail 
606592.501500000245869,4810497.4875,648,RN,Residential Dwelling (New/Add) Building,Conditional,2017-06-23T12:25:02.000Z,234 Maurice Dr 
607169.677000000141561,4811934.5205,671,SA,Institutional (Alt/Imp) Building,Issued,2017-08-03T09:17:39.000Z,337 Trafalgar Rd 
605448.923499999567866,4806680.5,212,RN,Residential Dwelling (New/Add) Building,Issued,2018-06-12T09:44:06.000Z,1570 Venetia Dr 
602567.67200000025332,4815304.129499999806,453,RN,Residential Dwelling (New/Add) Building,Conditional,2017-03-31T12:38:41.000Z,3102 Millicent Ave 
607158.879999999888241,4810608.412,380,CA,Commercial (Alt/Imp) Building,Issued,2018-02-21T14:12:17.000Z,149 Kerr St 
605780.904500000178814,4809179.227499999106,564,RA,Residential Dwelling (Alt/Imp) Building,Issued,2012-02-27T09:48:25.000Z,193 Weldon Ave 
604006.952499999664724,4804168.446499999613,776,RA,Residential Dwelling (Alt/Imp) Building,Issued,2015-11-16T10:55:10.000Z,3235 Shoreline Dr 
602759.299999999813735,4815215.649499999359,862,RN,Residential Dwelling (New/Add) Building,Conditional,2017-10-19T15:36:25.000Z,3040 Post Rd 
608105.78899999987,4817989.85099999979,849,MS,Miscellaneous Building,Issued,2018-11-16T16:03:54.000Z,2960 South Sheridan Way 
608548.419499999843538,4814850.834,528,CA,Commercial (Alt/Imp) Building,Issued,2019-03-28T10:34:32.000Z,1540 Cornwall Rd 
602712.740000000223517,4810532.955499999225,891,RA,Residential Dwelling (Alt/Imp) Building,Issued,2017-04-18T10:03:46.000Z,1262 Heathfield Cres 
599529.0455,4808410.432,248,RN,Residential Dwelling (New/Add) Building,Issued,2019-05-02T13:53:56.000Z,3176 Stocksbridge Ave 
604496.191499999724329,4806332.876,470,RS,Residential (Secondary) Building,Issued,2015-10-27T16:53:02.000Z,2209 Hixon St 
601333.742499999701977,4814838.295499999076,3,RN,Residential Dwelling (New/Add) Building,Conditional,2018-02-24T17:37:30.000Z,3438 George Savage Ave 
600581.67949999962,4810213.527499999851,266,RA,Residential Dwelling (Alt/Imp) Building,Issued,2015-12-18T16:46:21.000Z,2377 Woodcrest Dr 
604589.622499999590218,4807922.626,250,RN,Residential Dwelling (New/Add) Building,Issued,2017-03-28T16:23:56.000Z,441 Sandmere Pl 
604057.542000000365078,4812920.857,457,RA,Residential Dwelling (Alt/Imp) Building,Issued,2018-04-03T09:06:39.000Z,115 Russell Dr 
609276.1255,4813124.047,936,RN,Residential Dwelling (New/Add) Building,Issued,2012-05-02T15:59:59.000Z,98 Ennisclare Dr W 
