"PermitID","PermitClass","TypeConst","UseCategory","IntendUse","ApplDate","IssDate","PermitNo","Address","legaldesc","GrossAreaSqFt","EstValue","DwellingUnitsCreated","DwellingUnitsDemolished","parcelno","Longitude","Latitude"
"223","Building","New","Residential","Semi-Detached Dwelling","2003-11-27","2004-01-05","B04-001","164 AUTUMN CRES","PLAN 59M246 LOT 166","2160","130000","2","0","19302","-79.2864","43.0009"
"226","Building","New","Residential","Semi-Detached Dwelling","2003-11-27","2004-01-05","B04-004","180 OAKCREST AVE","PLAN 59M246 LOT 165","2128","130000","2","0","19303","-79.2868","43.0009"
"259","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-01-06","2004-01-06","P04-001","29 FOURTH ST","PLAN 33 PT LOT 140 PLAN 877;NP565","0","1500","0","0","7364","-79.2528","42.9794"
"267","Building","Alteration","Institutional","Church","2004-01-05","2004-01-07","B04-021","12 YOUNG ST","Part Lot 1, Part Lot 4, Lot 1-2, Plan 1649","0","5000","0","0","10812","-79.2505","42.9897"
"229","Building","Addition","Industrial","Manufacturing Plant","2003-10-27","2004-01-13","B04-007","65 SHAW ST","PT LOT 271, LTS 272-278, PL 938, PT 1 ON PLAN 59R-1105","600","36000","0","0","20399","-79.2591","42.9648"
"244","Building","New","Residential","Single Detached Dwelling","2004-01-06","2004-01-13","B04-023","29 GREEN POINTE DR","Lot 39, Plan 59M-277","1590","160000","1","0","16033","-79.2560","43.0051"
"246","Building","New","Accessory","Pole Barn","2004-01-07","2004-01-13","B04-025","609 CARL RD","Part 2 on 59R-7332","1564","20000","0","0","22658","0.0000","0.0000"
"242","Building","New","Residential","Single Detached Dwelling","2004-01-05","2004-01-16","B04-020","300 FOXTAIL AVE","PLAN 59M246 LOT 111","1100","100000","1","0","19293","-79.2890","43.0018"
"243","Building","New","Residential","Single Detached Dwelling","2004-01-05","2004-01-16","B04-022","333 LEA CRES","PLAN 59M246 LOT 120","1180","100000","1","0","19284","-79.2887","43.0022"
"245","Building","Addition","Residential","Single Detached Dwelling","2004-01-06","2004-01-19","B04-024","31 CLAREMOUNT CIR","Lot 34, Plan 627","511","30000","0","0","14548","-79.2688","43.0020"
"251","Building","Alteration","Institutional","Office","2004-01-09","2004-01-26","B04-030","1 VANIER DR","Plan 22","1800","88000","0","0","97","-79.2245","42.9852"
"240","Building","New","Residential","Single Detached Dwelling","2003-12-23","2004-01-29","B04-018","52 COURTNEY CRES","Lot 142, Plan 59M-230","1120","80000","1","0","1831","-79.2403","43.0255"
"241","Building","New","Residential","Single Detached Dwelling","2003-12-23","2004-01-29","B04-019","20 COURTNEY CRES","Lot 146, Plan 59M-230","1120","80000","1","0","1752","-79.2403","43.0259"
"228","Building","Alteration","Commercial","Restaurant","2003-08-05","2004-01-30","B04-006","800 NIAGARA ST","","0","2500","0","0","25029","-79.2466","43.0156"
"247","Building","New","Residential","Single Detached Dwelling","2004-01-08","2004-01-30","B04-026","341 LEA CRES","PLAN 59M246 LOT 121","1180","100000","1","0","19283","-79.2888","43.0022"
"248","Building","New","Residential","Single Detached Dwelling","2004-01-08","2004-01-30","B04-027","292 FOXTAIL AVE","PLAN 59M246 LOT 110","1100","100000","1","0","19294","-79.2890","43.0017"
"249","Building","New","Residential","Single Detached Dwelling","2004-01-08","2004-01-30","B04-028","349 LEA CRES","PLAN 59M246 LOT 122","1100","100000","1","0","19282","-79.2890","43.0022"
"271","Building","Alteration","Commercial","Restaurant","2004-01-28","2004-01-30","B04-035","800 NIAGARA ST","","4000","10000","0","0","25029","-79.2466","43.0156"
"272","Building","Addition","Residential","Single Detached Dwelling","2004-01-29","2004-01-30","B04-036","12 MCGILL ST","PLAN 92 LOT 159 NP640","288","40000","0","0","16853","-79.2667","43.0116"
"256","Demolition","","","","2004-01-27","2004-01-30","D04-001","474 SOUTHWORTH ST","PLAN 17 PT LOT 498 LOT 499;NP939","800","4000","0","1","2970","-79.2365","42.9699"
"260","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-02-02","2004-02-02","P04-002","91 ROSS ST","PLAN 51 LOT 8 NP599","0","900","0","0","10021","-79.2418","42.9961"
"261","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-02-02","2004-02-02","P04-003","45 ALMOND ST","PLAN 58 PT LOT 36 TO PT LOT;38 NP606","0","3000","0","0","21695","-79.2373","43.0020"
"274","Building","Alteration","Residential","Single Detached Dwelling","2004-02-03","2004-02-04","B04-039","97 RICE RD","PT TWP LOT 244","48","6700","0","0","17065","-79.2707","43.0080"
"257","Demolition","","","","2004-01-29","2004-02-05","D04-002","53 PATRICIA AVE","Lot 130, Plan 669","240","1800","0","0","10257","-79.2516","43.0058"
"262","Plumbing","Alteration","Commercial","Auto Mechanics","2004-02-05","2004-02-05","P04-004","212 BURGAR ST","PLAN 1649 PT BLK Y NP564","0","500","0","0","9820","-79.2423","42.9870"
"253","Building","New","Residential","Single Detached Dwelling","2004-01-16","2004-02-09","B04-033","175 COLBECK DR","PLAN 59M299 LOT 13","1315","100000","1","0","12965","-79.2714","42.9866"
"225","Building","New","Residential","Single Detached Dwelling","2003-12-05","2004-02-11","B04-003","259 LEA CRES","PLAN 59M246 LOT 64","1363","80000","1","0","19340","-79.2879","43.0013"
"275","Building","Alteration","Commercial","Office/Apartment","2004-02-04","2004-02-11","B04-041","247 KING ST","PLAN 1649 LOT 60;PLAN NT FITCH PT LOT 74;NP559","500","10000","0","0","11511","-79.2514","42.9865"
"239","Building","New","Residential","Street Townhouse","2003-12-10","2004-02-12","B04-017","4 AARON TRL","PLAN 59M269 LOT 18, 19 AND PT LOT 20","6088","450000","4","0","20633","-79.2193","43.0235"
"258","Sign","New","Commercial","Retail/Office","2004-02-12","2004-02-17","S04-001","435 PRINCE CHARLES DR S","Part 4, 5 on Plan 59R-6239","60","4500","0","0","380","-79.2627","42.9680"
"276","Building","Alteration","Commercial","Office","2004-02-06","2004-02-19","B04-043","547 THOROLD RD","PT TWP LOT 254","3035","150000","0","0","13105","-79.2842","43.0030"
"230","Building","Addition","Residential","Single Detached Dwelling","2003-12-19","2004-02-23","B04-008","159 ROOSEVELT AVE","Lot 250, Plan 973","160","2000","0","0","7737","-79.2377","42.9792"
"277","Building","New","Residential","Single Detached Dwelling","2004-02-11","2004-02-24","B04-045","438 AUTUMN CRES","PLAN 59M246 LOT 125","1000","70000","1","0","19279","-79.2890","43.0025"
"270","Building","New","Residential","Single Detached Dwelling","2004-01-27","2004-02-26","B04-034","474 SOUTHWORTH ST","PLAN 17 PT LOT 498 LOT 499;NP939","1215","80000","1","0","2970","-79.2365","42.9699"
"278","Building","New","Residential","Single Detached Dwelling","2004-02-19","2004-02-27","B04-046","40 GREEN POINTE DR","PLAN 59M 277 LOT 59","1500","170000","1","0","16196","-79.2561","43.0058"
"279","Building","New","Residential","Single Detached Dwelling","2004-02-25","2004-02-27","B04-048","276 FOXTAIL AVE","PLAN 59M246 LOT 108","1180","100000","1","0","19296","-79.2890","43.0015"
"263","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-02-25","2004-02-27","P04-005","342 CROWLAND AVE","PLAN 40 LOT 921 PT LOT 920;NP960","0","500","0","0","9744","-79.2359","42.9853"
"280","Building","Alteration","Residential","Single Detached Dwelling","2004-03-01","2004-03-02","B04-050","335 FIRST AVE N","PT TWP LOT 242","0","10000","0","0","16513","-79.2605","43.0095"
"264","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-03-03","2004-03-03","P04-006","864 WRIGHT ST","PLAN 46 PT LOT 818 LOT 817;NP966","0","800","0","0","2820","-79.2244","42.9908"
"281","Building","Alteration","Residential","Single Detached Dwelling","2004-03-03","2004-03-04","B04-055","97 RICE RD","PT TWP LOT 244","0","6200","0","0","17065","-79.2707","43.0080"
"273","Building","New","Residential","Single Detached Dwelling","2004-01-30","2004-03-10","B04-037","120 LARCHWOOD CIR","Lot 1, Plan 59M-294","1310","135000","1","0","13972","-79.2784","43.0132"
"265","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-03-09","2004-03-10","P04-007","208 BROADWAY","PLAN 20 PT LOT 188 PT LOT;189","0","500","0","0","531","-79.2632","42.9744"
"266","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-03-09","2004-03-10","P04-008","80 PARK ST","PLAN 41 PT LOT 89 PT LANE;NP589","0","900","0","0","21283","-79.2481","42.9852"
"282","Building","Addition","Residential","Single Detached Dwelling","2004-03-09","2004-03-11","B04-056","138 COLBECK DR","PLAN 59M301 LOT 2","336","1800","0","0","12396","-79.2700","42.9864"
"283","Building","New","Accessory","Shed","2004-03-09","2004-03-11","B04-057","138 COLBECK DR","PLAN 59M301 LOT 2","192","2000","0","0","12396","-79.2700","42.9864"
"268","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-03-10","2004-03-11","P04-009","29 FIRST AVE","PLAN 13 LOT 11 TO 12 NP648","0","1000","0","0","11400","-79.2604","42.9935"
"269","Plumbing","Alteration","Residential","Single Detached Dwelling","2004-03-11","2004-03-11","P04-010","41 DOVER RD","PLAN 64 LOT 82 NP612","0","600","0","0","3865","-79.2440","42.9829"
"284","Building","Alteration","Residential","Triplex","2004-03-10","2004-03-15","B04-058","149 ELMVIEW ST W","PLAN 55 LOT 19 PT LOT 20;NP603","540","5000","1","0","14657","-79.2547","42.9980"
"289","Pool","New","Accessory","","2004-03-10","2004-03-15","W04-002","698 SOUTH PELHAM RD","PT TWP LOT 246;RP59R 9646 PT 1","800","28000","0","0","17531","-79.2848","43.0086"
"252","Building","Alteration","Residential","Single Detached Dwelling","2004-01-12","2004-03-18","B04-032","208 NIAGARA ST","LOT 42, PLAN 549, 550","1015","60000","0","0","15119","-79.2524","42.9967"
"285","Building","Addition","Residential","Single Detached Dwelling","2004-03-15","2004-03-18","B04-069","242 ALBERTA ST","PLAN 15 PT LOT 181 NP937","159","1800","0","0","7091","-79.2433","42.9707"
