AB_Trans_N,Type,compkey,the_geom,block_rota
72302,Culvert Bridge,118891,POINT (-118.84620366255034 55.13368713036754),33.233672
82258,Culvert Bridge,118892,POINT (-118.92370510581985 55.17055339843027),359.972767
72156,Culvert Bridge,118890,POINT (-118.92322708787549 55.16884387270442),31.757332
73026,Culvert Bridge,118893,POINT (-118.82045165042355 55.12972252465128),86.638381
70806,Culvert Bridge,118889,POINT (-118.69232245158514 55.194740462829046),37.423999
13767,Culvert Bridge,118888,POINT (-118.6962627048997 55.19974236686378),176.352685
7301,Driving Bridge,118886,POINT (-118.88291246011275 55.228830344846536),266.496765
86282 ZN-1,Overhead Sign Structure,116959,POINT (-118.82049025602483 55.169196524230856),356.999975
,Dam,0,POINT (-118.8084663217996 55.17578210727677),0
77298,Culvert Bridge,0,POINT (-118.74455251786814 55.141566931177714),151.246706
72732,Culvert Bridge,0,POINT (-118.76905972865644 55.15644492354372),84.376229
86236,Pedestrian Bridge,41269,POINT (-118.78438557562626 55.13075711488891),2.697313
71060,Pedestrian Bridge,41271,POINT (-118.79508196185613 55.13136898128081),177.010899
86235,Pedestrian Bridge,117617,POINT (-118.81398057588935 55.127795106801855),176.747338
86225,Pedestrian Bridge,41273,POINT (-118.79946357267559 55.140728202185116),65.783118
86224,Pedestrian Bridge,41268,POINT (-118.79547104585059 55.14503621445214),123.683425
86223,Pedestrian Bridge,41267,POINT (-118.80026033086972 55.15052752743828),36.380356
86221,Pedestrian Bridge,41265,POINT (-118.8035069458183 55.154871279509386),98.106704
86222,Pedestrian Bridge,41266,POINT (-118.80202301871113 55.151598622133655),11.497716
86220,Pedestrian Bridge,41264,POINT (-118.8038724319332 55.15591370017514),82.879548
86219,Pedestrian Bridge,41263,POINT (-118.80245369264486 55.16066595033897),68.057875
86218,Pedestrian Bridge,41262,POINT (-118.80411658432452 55.16550465520706),109.68303
86217,Pedestrian Bridge,41261,POINT (-118.80581337120707 55.169152785932766),85.295253
86216,Pedestrian Bridge,41260,POINT (-118.8066153504 55.171579755783775),98.961958
86215,Pedestrian Bridge,41259,POINT (-118.80749664152133 55.173747827853475),63.352516
86214,Pedestrian Bridge,41258,POINT (-118.81741921013247 55.180628157075574),90.834552
86046,Driving Bridge,40914,POINT (-118.79757567331093 55.141719384601764),258.201482
77811E,Driving Bridge,40915,POINT (-118.80391344998192 55.15608168832335),266.496765
77811W,Driving Bridge,41218,POINT (-118.80392563359474 55.1563180187352),266.496765
77532,Driving Bridge,41222,POINT (-118.80599360336292 55.170103877648586),253.909914
01481,Driving Bridge,41225,POINT (-118.80601221110382 55.17045323372028),266.496765
13766,Driving Bridge,41270,POINT (-118.84548703037578 55.19980355871764),266.496765
