X,Y,OBJECTID,AM_ID,STRUCTURE1,DESCRIPTION,AM_ASSETOWNER,AM_CONSTRUCTION_YEAR
591779.240060002543032,4795526.5918499995023,643,310024,"Rigid Frame, Vertical Legs",Hidden Valley Road Bridge (330m N. of Lemonville),City of Burlington,2017
597232.707400002516806,4798070.103279998525977,53,210015,Rectangular Voided Slab,Emerald Cres Pedestrian Bridge (behind Mun Lot 3),City of Burlington,1951
595296.776440002024174,4804720.339679999277,7,20029,Through Truss,Headon Forest Dr Pedestrian Bridge (behind Longos),City of Burlington,1989
599297.052680002525449,4799385.1390799991786,1,210023,"Rigid Frame, Vertical Legs",Spruce Avenue Bridge (Over Roseland Creek),City of Burlington,1965
592342.169040001928806,4795306.1505199987441,2,310003,Circular Voided Slab,Lemonville Road Bridge (Over Grindstone Creek),City of Burlington,1983
600963.124360002577305,4803017.083399998024106,3,210003,"Rigid Frame, Vertical Legs",Pinedale Bridge (@ Appleby Creek),City of Burlington,1968
588961.091880002059042,4810993.288999998942018,4,110077,"Rigid Frame, Vertical Legs",Walkers Line Bridge (1.5km North of Britannia Rd),City of Burlington,1957
601047.687480002641678,4800941.999999998137355,5,110004,Earth Filled Arch,"Shoreacres Bridge, Lakeshore Rd @ Shoreacres Creek",City of Burlington,1910
597843.398480001837015,4802555.3072799984366,8,110064,Solid Slab,Walkers Line Subway (300m S. of Mainway),Joint Venture,1986
593459.395200002007186,4808863.842479998245835,9,210007,I-beam or Girders,Zimmerman Bridge (No. 2 Side Rd @ Bronte Creek),City of Burlington,1984
598845.134160002693534,4799598.5231599994004,11,110023,"Rigid Frame, Vertical Legs",New Street Bridge @ Roseland Creek,City of Burlington,1964
602507.087440002709627,4803424.481599999592,12,210001,Box Girder,Spruce Ave Bridge (@ Sheldon Creek),City of Burlington,1970
597059.208440002053976,4797699.197639998048544,15,210017,"Rigid Frame, Vertical Legs",Caroline Street Bridge (55m W. of Hurd Ave),City of Burlington,1963
596053.750000001862645,4798537.999999998137355,16,110054,Circular Voided Slab,Fairview Street C.N.R. Overhead (W. of Brant St.),City of Burlington,1981
598821.130800002254546,4801608.491439998149872,17,110026,Solid Slab,Walkers Line Subway,Joint Venture,1973
594324.562580002471805,4797507.802879998460412,323,310023,,King Rd Aqueduct,City of Burlington,2014
601905.134880002588034,4801756.9341199994087,18,110002,I-beam or Girders,Lakeshore Rd Bridge at Appleby Creek,City of Burlington,1989
595574.722520002163947,4798567.678359998390079,19,110029,I-beam or Girders,C.N.R. Plains Road Subway,Joint Venture,1936
599477.437480002641678,4800421.499999998137355,20,110005,"Rigid Frame, Vertical Legs","New St Bridge, East of Woodview Rd.",City of Burlington,1960
599680.501160002313554,4802071.357959998771548,21,210005,Circular Voided Slab,Longmoor Dr Bridge (@ Shoreacres Creek),City of Burlington,1973
599815.145240002311766,4799965.335879998281598,22,210018,"Rigid Frame, Vertical Legs",Spruce Avenue Bridge (East of Pine Cove Road),City of Burlington,1962
590215.612400001846254,4810371.3974399995059,23,110016,Box Beams of Girders,No. 5 Sideroad Bridge (Over Bronte Creek),City of Burlington,1968
599743.178600002080202,4799160.708959998562932,24,110006,Earth Filled Arch,"Pine Cove Bridge, Lakeshore Rd between Brookfield",City of Burlington,1905
590541.787600002251565,4793907.6549599990249,25,110010,I-beam or Girders,Wolfe Island Bridge,City of Burlington,1973
599201.960160002112389,4800888.865559998899698,26,210006,"Rigid Frame, Vertical Legs",Rexway Drive (over Tuck Creek),City of Burlington,1967
590631.062480002641678,4794279.999999998137355,27,310014,Half-through Beams of Girders,Snake Road C.N.R. Overhead,Joint Venture,1976
591675.613200002349913,4812225.188399998471141,28,110014,"Rigid Frame, Vertical Legs",Britannia Road Bridge (@ Bell School Line),City of Burlington,1966
598458.411840002052486,4799622.7640799991786,29,310008,"Rigid Frame, Vertical Legs",Glencrest Road Bridge (Over Roseland Creek),City of Burlington,1970
596072.250000001862645,4799439.999999998137355,30,110008,I-beam or Girders,C.N.R. Overhead at Plains Road,City of Burlington,1964
589080.43160000257194,4795462.356639998033643,33,310006,"Rigid Frame, Vertical Legs",Old York Road Overpass at C.P Rail,Joint Venture,1989
596895.839400002732873,4798484.264519998803735,37,310020,"Rigid Frame, Vertical Legs",Courtland Place Bridge,City of Burlington,1954
596955.937480002641678,4797735.999999998137355,38,210041,"Rigid Frame, Vertical Legs",Birch Ave Bridge (btwn Hurd Ave and Burlington St),City of Burlington,1949
588864.564160002395511,4811084.5659599993378,41,110076,"Rigid Frame, Vertical Legs",Walkers Line Bridge (1.7km North of Britannia Rd),City of Burlington,1941
596851.969080002047122,4799674.771399999037,42,13001,Through Truss,Drury Lane Pedestrian Bridge,City of Burlington,1972
595913.828560002148151,4797835.665439998731017,43,210026,I-beam or Girders,Thorpe Road Bridge (over Rambo-Hager Channel),City of Burlington,1985
592580.967400002293289,4795988.026439998298883,45,110055,I-beam or Girders,C.N.R. Overhead on Waterdown Road,Joint Venture,1958
591892.161840002052486,4809994.140919998288155,46,210008,"Rigid Frame, Vertical Legs",No. 4 Sideroad (@ Bronte Creek),City of Burlington,1966
601235.832160002551973,4802681.036039998754859,47,110003,"Rigid Frame, Vertical Legs","New St Bridge, East of Timber Lane",City of Burlington,1963
602771.645720002241433,4803444.255639998242259,49,110001,"Rigid Frame, Vertical Legs","Burloak Dr Bridge, North of Calvert Pl",Joint Venture,1964
590636.798040002584457,4810936.8401599992067,50,110015,"Rigid Frame, Vertical Legs",Britannia Road Bridge (310m West of Appleby Line),City of Burlington,1965
601452.515640002675354,4803933.852799998596311,51,310021,I-beam or Girders,Sheldon Park Drive,City of Burlington,1986
600209.051000001840293,4801362.088039997965097,52,110047,"Rigid Frame, Vertical Legs",New Street Bridge (East of Belvenia Road),City of Burlington,1960
586021.852040002122521,4808571.102279998362064,60,310022,"Rigid Frame, Vertical Legs",Kilbride Street Bridge,City of Burlington,1962
