,,,RENSEIGNMENTS SUR L'EMPLACEMENT,,,RENSEIGNMENTS SUR LA STRUCTURE,,,,,,,,,,,RENSEIGNMENTS ADMINISTRATIVES,,,,RENSEIGNMENTS DE L'INSPECTION (IEP = Indice de l'état du pont),,,,,,,,,,,,,,,,,,,
,,,LOCATION INFORMATION,,,STRUCTURE INFORMATION,,,,,,,,,,,ADMINISTRATIVE INFORMATION,,,,INSPECTION INFORMATION (BCI = Bridge Condition Index),,,,,,,,,,,,,,,,,,,
NUMÉRO DE LA STRUCTURE,NOM DE LA STRUCTURE,NOM FRANÇAIS,NOM DE LA ROUTE,LATITUDE,LONGITUDE,CATÉGORIE,SOUS-CATÉGORIE 1,TYPE 1,MATÉRIEL 1,ANNÉE DE CONSTRUCTION,DERNIÈRE RÉFECTION MAJEURE,DERNIÈRE RÉFECTION MINEURE,NOMBRE DE TRAVÉES / CELLULES,RENSEIGNMENTS SUR LES TRAVÉES / CELLULES,LONGUEUR DU TABLIER / PONCEAU (m),LARGEUR TOTALE (m),RÉGION,COMTÉ,ÉTAT,PROPRIÉTAIRE,DATE DE LA DERNIÈRE INSPECTION,IEP ACTUEL,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ID (SITE NO.),STRUCTURE NAME,FRENCH NAME,HIGHWAY NAME,LATITUDE,LONGITUDE,CATEGORY,SUB CATEGORY 1,TYPE 1,MATERIAL 1,YEAR BUILD,LAST MAJOR REHAB,LAST MINOR REHAB,NUMBER OF SPANS / CELLS,SPAN / CELL DETAILS (m),DECK / CULVERT LENGTH (m),WIDTH TOTAL (m),REGION,COUNTY,OPERATION STATUS,OWNER,LAST INSPECTION DATE,CURRENT BCI,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP,BCI INSP
 1 -  18/C,Culvert 18,,403,43.167542,-80.215807,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1990,1990,,1,Total=4  (1)=4;,156,,West,BRANT,Open to traffic,Provincial,05/11/2016,68.6,,68.6,,68.7,,68.9,,70.7,,70.9,,73.7,,74.1,,75,,
 1 -  19/C,Culvert 19,,403,43.16655538,-80.21516616,Culvert,Closed Culvert,Box Culvert (Rigid Frame),Reinforced Cast-In-Place Concrete,1990,1990,,1,Total=4  (1)=4;,55,,West,BRANT,Open to traffic,Provincial,05/11/2016,72.8,,72.8,,72.8,,73,,72.9,,73.8,,74,,74.4,,75,,
 1 -  32/,Highway 24 Underpass at Highway 403,ROUTE 24 PASSAGE INFÉRIEUR À ROUTE 403 ,403,43.16723261,-80.27556722,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1965,2014,2009,4,Total=64  (1)=12;(2)=19;(3)=21;(4)=12;,66.6,25.4,West,BRANT,Open to traffic,Provincial,06/22/2016,80.9,,80.9,81.2,81.2,,72.3,,69.5,,70,,70.3,,70.5,,70.7,72.9,
 1 -  43/,WEST STREET UNDERPASS,OUEST STREET PASSAGE INFÉRIEUR ,403,43.1645311,-80.2515821,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1963,2014,2011,4,Total=60.4  (1)=12.2;(2)=18;(3)=18;(4)=12.2;,62.5,18.39,West,BRANT,Open to traffic,Provincial,07/27/2016,79,,79,,79.1,,71.5,,68.1,,69,,69.4,,69.4,,70.3,73.3,
 1 -  44/,NORTH PARK STEET UNDERPASS,NORTH PARK STEET PASSAGE INFÉRIEUR ,403,43.165918,-80.263791,Bridge,Beam/Girder,AASHTO Girder,Prestressed Precast Concrete,1962,2013,2009,4,Total=60.4  (1)=12.2;(2)=18;(3)=18;(4)=12.2;,60.8,18.4,West,BRANT,Open to traffic,Provincial,07/27/2016,77.8,,77.8,,77.9,,71.4,,69.9,,67.7,,68.9,,69.1,,69.9,72.8,
 1 -  85/,GURNEY CREEK WHITEMAN BRIDGE,PONT GURNEY CREEK WHITEMAN ,24,43.13748947,-80.36729741,Bridge,Beam/Girder,Plate I Girder,Steel,2011,2011,2006,1,Total=41.2  (1)=41.2;,41.2,14.5,West,BRANT,Open to traffic,Provincial,05/18/2016,98.7,,98.7,,98.5,,99.1,,50.5,,49.5,,50.5,,70.4,,71.8,71.9,
 1 - 139/,BRANT COUNTY RD.# 27 (Oak Park Road) Underpass Interchange,BRANT COUNTY RD. #27 PASSAGE SUPÉRIEUR ,403,43.16781,-80.33827,Bridge,Slab,Solid Slab,Post-Tensioned Cast-In-Place Concrete,1975,2013,,2,Total=60.6  (1)=30.3;(2)=30.3;,61,17.06,West,BRANT,Open to traffic,Provincial,06/22/2016,75.4,,75.4,,76.6,,71.2,,70.5,,70.2,,70.7,,70.2,,71.1,71.8,
