OBJECTID,ASSET_ID,BRIDGEID,NAME,LIFECYCLESTATUS,BUILTYEAR,OWNER,LOCATION,ROAD_NAME,BRIDGETYPE,ASSET_TYPE,MATERIAL,SPAN,DECK_LENGTH,STRUCTURE_WIDTH,DECK_AREA,COVERDEPTH,WITHINREGULATORYENVIRONMENT,Shape__Length
1,10201331,5,PB-05,Active, ,CITY OF WATERLOO,BECHTEL PARK, ,Pedestrian Bridge,Slab on Steel Girder,Steel,12.2,12.2,2.2,26.2,0,Yes,0.000140775206608969
2,10201301,56,RS-56,Active,1966,CITY OF WATERLOO,COLUMBIA ST W 130 M EAST OF WESTMOUNT RD N,Columbia St,Box Culvert,Box Culvert,Concrete,5.3,5.9,30,177,2,Yes,0.000365122159384129
3,10201307,48,RS-48,Active, ,CITY OF WATERLOO,THORNDALE THROUGH TO FISCHER-HALLMAN RD,Thorndale Dr,Concrete Pipe Culvert,Round Pipe,CSP/Concrete,2.9,2.9,215,623.5,0,No,0.00252211051141207
4,10201362,59,RS-59,Active,1968,CITY OF WATERLOO,GLEN FORREST BLVD 20 M NORTH OF TOLLGATE BLVD,Glen Forrest,Corrugated Steel Pipe,Pipe Arch,CSP,3,3,36.6,109.8,1,Yes,0.00042644320644151
5,10201361,47,RS-47,Active,1993,CITY OF WATERLOO,ROOSEVELT AVE 40 M NORTH OF REDWOOD PL,Roosevelt Ave,Box Culvert,Box Culvert,Concrete,3.1,3.6,33.2,119.3,0.5,Yes,0.000379812571238473
6,10201348,22,PB-22,Active, ,CITY OF WATERLOO,KAUFMANN FLATS, ,Pedestrian Bridge,Steel Truss,Steel,7,7,3.3,23.1,0,Yes,0.000102250714565945
7,10201302,53,RS-53,Active, ,CITY OF WATERLOO,KEATS WAY 70 M WEST OF BRANDENBURG BLVD,Keats Way,Concrete Arch Culvert,Arch Culvert,Concrete,6.1,6.7,21.6,144.7,1.5,Yes,0.000197001721398746
8,10201352,26,PB-26,Active, ,CITY OF WATERLOO,FORESTED HILLS ESPA 19-NEAR COLUMBIA FOREST CRT, ,Pedestrian Bridge,Steel Truss,Steel,18.2,18.2,3,53.7,0,Yes,0.000199413657449002
9,10201357,54,RS-54,Active,1962,CITY OF WATERLOO,KEATS WAY AT MCDOUGAL RD,Keats Way,Box Culvert,Box Culvert,Concrete,3.6,4.1,30,123,1.5,Yes,0.00123093843843312
10,10201314,71,RS-71,Active, ,CITY OF WATERLOO,LAURELWOOD DR 130M WEST OF LAURELGATE DR,Lauralwood Dr,Corrugated Steel Pipe,Round Pipe,CSP,0.8,0.8,20,16,1,No,0.000229429311936928
