Province,City or Region,Source,Special Note,Open,Direct Link,Provider,License or Terms of Use,Attribution Statement,Date Modified By Source
ON,All,https://files.ontario.ca/opendata/ontario_public_library_statistics_open_data_2017.csv,,Open,Yes,Government of Ontario,https://www.ontario.ca/page/open-government-licence-ontario,Contains information licensed under the Open Government Licence – Ontario.,20-Aug-18
ON,Ottawa,http://data.ottawa.ca/dataset/library-locations-and-hours-ottawa-public-libraries/resource/c9bc184c-ac3b-493d-81eb-9df0c37fbaee,,Open,No,City of Ottawa,https://ottawa.ca/en/city-hall/get-know-your-city/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence – City of Ottawa.,24-Apr-13
ON,Hamilton,http://open.hamilton.ca/datasets/67a54ea25d944cf7b66750ba57da822c_1,"Only coordinates, no address",Open,No,City of Hamilton,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,10/19/2018
ON,Waterloo,https://rowopendata-rmw.opendata.arcgis.com/datasets/d137da7d38c14b3aa0fd42ab3a4cebad_0,,Open,No,Regional Municipality of Waterloo,https://www.regionofwaterloo.ca/en/regional-government/open-data.aspx,"Contains information provided by the Regional Municipality of Waterloo under licence""",01/07/2019
ON,Cambridge,https://opendata.arcgis.com/datasets/dd7be0b595c74793b15bcfb842186dc3_7.csv?outSR=%7B%22wkid%22%3A26917%2C%22latestWkid%22%3A26917%7D,,Open,Yes,City of Cambridge,https://maps.cambridge.ca/images/opendata/Open%20data%20licence.pdf,Contains information licensed under the Open Government Licence – City of Cambridge,01/07/2019
ON,Kitchener,http://open-kitchenergis.opendata.arcgis.com/datasets/libraries,,Open,No,Kitchener,https://www.kitchener.ca/en/city-services/open-data.aspx#ODLicence,Contains information licensed under the Open Government Licence - The Corporation of the City of Kitchener.,02/03/2019
ON,Windsor,https://opendata.citywindsor.ca/opendata/details/205,,Open,No,City of Windsor,https://citywindsor.ca/opendata/Documents/OpenDataTermsofUse.pdf,Contains information licensed under the Open Government Licence – The Corporation of the City of Windsor.,"July, 2018"
ON,Niagara Region,https://niagaraopendata.ca/dataset/c35c84b8-f07e-47e9-b45e-bb8280ac6b9f/resource/05bdf329-e889-4978-84ef-42cb95a5bd2a/download/libraries.csv,,Open,Yes,Niagara Region,https://niagaraopendata.ca/pages/open-government-license-2-0-niagara-region,Contains information licensed under the Open Government Licence - Niagara Region,23-May-17
BC,All,https://www2.gov.bc.ca/assets/gov/residents/sports-and-recreation/arts-culture/public-libraries/bc_public_libraries_mailing_address_list.csv,,Open,Yes,Government of British Columbia,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-license-bc,Contains information licensed under the Open Government Licence – British Columbia.,31/08/2018
QC,All,https://www.donneesquebec.ca/recherche/dataset/a5a36aa3-1b1a-4dd1-a78b-23008e368ef7/resource/b5119897-c901-4a0d-87c4-4bd1c84dd282/download/coordonneesbibliothequespubliques,In GeoJSON format,Open,Yes,Bibliothèque et Archives nationales du Québec,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the Bibliothèque et Archives nationales du Québec under a Creative Commons CC-By license.,14/01/2019
QC,Shawinigan,http://donnees-shawinigan.opendata.arcgis.com/datasets/bedaa318ea214e0abed5bfc2c82628a6_0.csv,,Open,Yes,Ville de Shawinigan,https://www.donneesquebec.ca/fr/licence/#cc-by,Contains information made available by the city of Shawinigan under a Creative Commons CC-By license.,07/01/2019
QC,Gatineau,https://www.gatineau.ca/upload/donneesouvertes/LIEU_PUBLIC.csv,Public buildings including libraries,Open,Yes,City of Gatineau,https://www.gatineau.ca/donneesouvertes/licence_en.aspx,Licensed from the City of Gatineau under a Creative Commons CC-BY license.,
QC,Longeueil,https://www.longueuil.quebec/sites/longueuil/files/donnees_ouvertes/bibliotheque.zip,Shape File,Open,Yes,City of Longeueil,https://www.donneesquebec.ca/fr/licence/#cc-by,Licensed from the City of Longueuil under a Creative Commons CC-BY license.,14/01/2019
QC,Laval,https://www.donneesquebec.ca/recherche/dataset/fddf1658-248e-49d6-99ed-4899a737f14a/resource/f5ad512e-2451-4f2d-b6ff-1d5cc8b618f9/download/lieux.csv,,Open,Yes,City of Laval,https://www.donneesquebec.ca/fr/licence/#cc-by,Licensed from the City of Laval under a Creative Commons CC-BY license.,01/02/2019
