Province,Organization,Type,Parks,URL,URL 2,Date last modified,Update frequency ,Date downloaded,,,,
AB,Airdrie,Municipal,Yes (Playgrounds),http://data-airdrie.opendata.arcgis.com/datasets/airdrie-playgrounds-1/data?page=2,,march 30 2010,,,,,,
AB,Calgary,Municipal,Yes,https://data.calgary.ca/Recreation-and-Culture/Parks-Sites/i9fu-gjqj,,created may 23 2018,july 5 2019,july 9 2019,,,,
AB,Canmore,Municipal,Yes,http://opendata-canmore.opendata.arcgis.com/datasets/a8f48bbeea6d43bcb67014f8c1a9824a_0/data,,june 25 2018,,,,,,
AB,Chestermere,Municipal,Yes,https://www.arcgis.com/home/item.html?id=c07578701ecd4f8794890fe19f17766a#data,,march 12 2019,,,,,,
AB,Cochrane,Municipal,Yes,http://data-cochranegis.opendata.arcgis.com/datasets/cochrane-parks/data?geometry=-114.546%2C51.173%2C-114.39%2C51.211,,june 3 2019,,,,,,
AB,Edmonton,Municipal,Yes,https://data.edmonton.ca/Outdoor-Recreation/Parks/gdd9-eqv9/data,,,daily,july 9 2019,,,,
AB,Grand Prairie,Municipal,Yes,https://data.cityofgp.com/Map-Data/Park-Boundaries-Named-Parks/6rbr-ez8c,,november 24 2016,,,,,,
AB,Lethbridge,Municipal,Yes (Greenspaces),http://opendata.lethbridge.ca/datasets/4888a2a1f23b423eb17d7d90000e1f25_0/data,,may 2 2019,,,,,,
AB,Strathcona County,Municipal,Yes,https://data.strathcona.ca/Recreation-Culture/Parks/533n-6rzt/data,,july 6 2019,,july 10 2019,,,,
BC,Campbell River,Municipal,Yes,https://data-crcc.opendata.arcgis.com/datasets/55fcf98b4558467cb48f087ad14baa51_0/data,,may 3 2018,,,,,,
BC,Chilliwack,Municipal,Yes,https://www.chilliwack.com/main/page.cfm?id=2331&odAction=viewItem&odID=46,,June 11 2019,,,,,,
BC,Courtenay,Municipal,Yes,https://data-courtenay.opendata.arcgis.com/datasets/parks-1/data,,june 12 2019,,,,,,
BC,Kamloops,Municipal,Yes,http://mydata-kamloops.opendata.arcgis.com/datasets/park/data,,january 15 2019,,,,,,
BC,Kelowna,Municipal,Yes,http://opendata.kelowna.ca/datasets/park/data,,june 12 2016,,,,,,
BC,Nanaimo,Municipal,Yes,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/ParksGeoSpatial#,,published may 2 2011,,june 18 2019,,,,
BC,Prince George,Municipal,Yes,https://data-cityofpg.opendata.arcgis.com/datasets/park-and-open-spaces/data?geometry=-123.737%2C53.789%2C-122.544%2C54.072,,june 15 2019,,June16 2019,,,,
BC,Saanich,Municipal,Yes,https://www.saanich.ca/EN/main/local-government/data-catalogue-1.html,,,monthly,june 18 2019,,,,
BC,Surrey,Municipal,Yes,https://data.surrey.ca/dataset/parks,,,monthly,june 18 2019,,,,
BC,Township of Langley,Municipal,Yes,https://data-tol.opendata.arcgis.com/datasets/93ae11e4d5f240ccad6387154ce8f685_0/data,,June16 2019,,June16 2019,,,,
BC,Vancouver,Municipal,Yes,https://data.vancouver.ca/datacatalogue/parks.htm,,,updated weekly,,,,,
BC,Victoria,Municipal,Yes,http://opendata.victoria.ca/datasets/parks-maintained-by-the-city-of-victoria/data,,april 5 2019,,,,,,
BC,White Rock,Municipal,Yes,http://data.whiterockcity.ca/dataset/parks,,created december 7 2016,,june 18 2019,,,,
