Province,City or Region,Source,Open,Complete,Provider,License or Terms of Use,Attribution Statement
BC,Campbell River,https://www.bctransit.com/data/gtfs/campbell-river.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Central Fraser Valley,https://www.bctransit.com/data/gtfs/central-fraser-valley.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Chilliwack,https://www.bctransit.com/data/gtfs/chilliwack.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Comox Valley,https://www.bctransit.com/data/gtfs/comox-valley.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Cowichan Valley,https://www.bctransit.com/data/gtfs/cowichan-valley.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Cranbrook,https://www.bctransit.com/data/gtfs/cranbrook.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Dawson Creek,https://www.bctransit.com/data/gtfs/dawson-creek.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Fort St. John,https://www.bctransit.com/data/gtfs/fort-st-john.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Fraser Valley Express FVX,https://www.bctransit.com/data/gtfs/fraser-valley-express,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Kamloops,https://www.bctransit.com/data/gtfs/kamloops.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Kelowna,https://www.bctransit.com/data/gtfs/kelowna.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Nanaimo,https://www.bctransit.com/data/gtfs/nanaimo.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Prince George,https://www.bctransit.com/data/gtfs/prince-george.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Squamish,https://www.bctransit.com/data/gtfs/squamish.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Sunshine Coast,https://www.bctransit.com/data/gtfs/sunshine-coast.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Vernon,https://www.bctransit.com/data/gtfs/vernon.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Victoria,https://www.bctransit.com/data/gtfs/victoria.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,West Kootenay,https://www.bctransit.com/data/gtfs/west-kootenay.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
BC,Whistler,https://www.bctransit.com/data/gtfs/whistler.zip,Open,Yes,BC Transit,https://www.bctransit.com/open-data/terms-of-use,Contains Information freely available from BC Transit under an Open Data License.
